2026-03-22 19:45:23.260 [info] Starting Python Locator /home/yusof_0090/.vscode/extensions/ms-python.python-2026.4.0-linux-x64/python-env-tools/bin/pet server
2026-03-22 19:45:23.260 [info] Discovered env: /usr/bin/python
2026-03-22 19:45:23.260 [info] Refresh completed in 226ms
2026-03-22 19:45:23.788 [info] Resolved Python Environment /usr/bin/python
2026-03-22 19:45:23.978 [info] Discovered env: /usr/bin/python
2026-03-22 19:45:24.182 [info] Refresh completed in 238ms
2026-03-23 14:58:19.871 [info] Resolved Python Environment /usr/bin/python
2026-03-23 14:59:01.049 [info] Resolved Python Environment /usr/bin/python
2026-03-23 15:03:36.872 [info] Resolved Python Environment /usr/bin/python
2026-03-23 15:04:28.938 [info] Resolved Python Environment /usr/bin/python
2026-03-23 15:21:07.367 [info] Resolved Python Environment /usr/bin/python
2026-03-23 15:44:38.407 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:15:26.982 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:18:54.322 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:20:26.912 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:33:33.407 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:35:00.042 [info] Resolved Python Environment /usr/bin/python
2026-03-23 16:54:36.648 [info] Resolved Python Environment /usr/bin/python
2026-03-23 17:00:15.319 [info] Resolved Python Environment /usr/bin/python
2026-03-23 17:01:00.266 [info] Resolved Python Environment /usr/bin/python
2026-03-23 17:09:18.194 [info] Resolved Python Environment /usr/bin/python
2026-03-23 20:31:12.765 [info] Resolved Python Environment /usr/bin/python
2026-03-23 23:31:31.664 [info] Resolved Python Environment /usr/bin/python
2026-03-23 23:44:10.842 [info] Resolved Python Environment /usr/bin/python
2026-03-23 23:44:46.519 [info] Resolved Python Environment /usr/bin/python
2026-03-24 00:20:33.004 [info] Resolved Python Environment /usr/bin/python
2026-03-24 00:21:18.107 [info] Resolved Python Environment /usr/bin/python
2026-03-24 00:22:38.609 [info] Resolved Python Environment /usr/bin/python
2026-03-24 13:25:35.290 [info] Resolved Python Environment /usr/bin/python
2026-03-24 13:26:12.814 [info] Resolved Python Environment /usr/bin/python
2026-03-24 13:27:25.290 [info] Resolved Python Environment /usr/bin/python
2026-03-24 13:28:08.903 [info] Resolved Python Environment /usr/bin/python
2026-03-25 12:02:44.577 [info] Resolved Python Environment /usr/bin/python
2026-03-25 14:07:22.432 [info] Resolved Python Environment /usr/bin/python
2026-03-25 14:08:04.427 [info] Resolved Python Environment /usr/bin/python
2026-03-25 14:19:35.147 [info] Resolved Python Environment /usr/bin/python
