2026-03-26 17:19:51.111 [info] [McpGatewayService] Initialized
2026-03-26 17:41:47.063 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 17:41:47.272 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:09.710 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:09.710 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:09.972 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:43.409 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:43.409 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:43.409 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-26 18:15:43.570 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-27 00:01:03.193 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-27 00:01:03.193 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-27 00:01:03.193 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
2026-03-27 00:01:03.193 [info] [McpGateway][Channel] Client disconnected: window:1, cleaning up gateways
