2026-03-26 17:19:54.466 [info] Reading sessions from keychain...
2026-03-26 17:19:54.466 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.466 [info] Got stored sessions!
2026-03-26 17:19:54.466 [info] Got 3 verified sessions.
2026-03-26 17:19:54.466 [info] Got 3 sessions for ...
2026-03-26 17:19:54.466 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.466 [info] Got 3 sessions for ...
2026-03-26 17:19:54.466 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.466 [info] Got 3 sessions for ...
2026-03-26 17:19:54.466 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.466 [info] Got 3 sessions for ...
2026-03-26 17:19:54.466 [info] Getting sessions for user:email...
2026-03-26 17:19:54.466 [info] Got 1 sessions for user:email...
2026-03-26 17:19:54.644 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.644 [info] Got 3 sessions for ...
2026-03-26 17:19:54.687 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.687 [info] Got 3 sessions for ...
2026-03-26 17:19:54.687 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.687 [info] Got 3 sessions for ...
2026-03-26 17:19:54.810 [info] Getting sessions for all scopes...
2026-03-26 17:19:54.810 [info] Got 3 sessions for ...
2026-03-26 17:19:54.856 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:54.856 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:54.914 [info] Getting sessions for user:email...
2026-03-26 17:19:54.914 [info] Got 1 sessions for user:email...
2026-03-26 17:19:55.169 [info] Getting sessions for all scopes...
2026-03-26 17:19:55.169 [info] Got 3 sessions for ...
2026-03-26 17:19:55.180 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:55.180 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:55.827 [info] Getting sessions for all scopes...
2026-03-26 17:19:55.827 [info] Got 3 sessions for ...
2026-03-26 17:19:55.827 [info] Getting sessions for all scopes...
2026-03-26 17:19:55.827 [info] Got 3 sessions for ...
2026-03-26 17:19:56.356 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:56.356 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:56.561 [info] Getting sessions for all scopes...
2026-03-26 17:19:56.561 [info] Got 3 sessions for ...
2026-03-26 17:19:56.561 [info] Getting sessions for all scopes...
2026-03-26 17:19:56.561 [info] Got 3 sessions for ...
2026-03-26 17:19:56.575 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:56.575 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:56.580 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-03-26 17:19:56.583 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-03-26 17:19:56.665 [info] Getting sessions for all scopes...
2026-03-26 17:19:56.665 [info] Got 3 sessions for ...
2026-03-26 17:19:56.669 [info] Getting sessions for all scopes...
2026-03-26 17:19:56.669 [info] Got 3 sessions for ...
2026-03-26 17:19:56.965 [info] Getting sessions for all scopes...
2026-03-26 17:19:56.965 [info] Got 3 sessions for ...
2026-03-26 17:19:56.965 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:56.965 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-26 17:19:57.503 [info] Getting sessions for all scopes...
2026-03-26 17:19:57.503 [info] Got 3 sessions for ...
2026-03-26 17:19:57.505 [info] Getting sessions for read:user,repo,user:email,workflow...
